Unicode,Entidad_Federativa,Género,Grupos_de_edad,Total_Causas_Migración,Buscar trabajo,Cambio u oferta de trabajo,Reunirse con la familia,Se casó o unió,Estudiar,Por inseguridad delictiva o violencia,Por desastres naturales,Lo deportaron,Otra causa,No_especificado_causas,En otra entidad,En los Estados Unidos de América,En otro país,No_especificado_lugar_residencia,Total_residen_en_otro_lugar,% Buscar trabajo,% Cambio u oferta de trabajo,% Reunirse con la familia,% Se casó o unió,% Estudiar,% Por desastres naturales,% Lo deportaron,% Otra causa,% No_especificado_causas,% Por inseguridad delictiva o violencia,Total En los Estados Unidos de América de % Buscar trabajo,Total En los Estados Unidos de América de % Cambio u oferta de trabajo,Total En los Estados Unidos de América de % Reunirse con la familia,Total En los Estados Unidos de América de % Estudiar,Total En los Estados Unidos de América de % Por desastres naturales,Total En los Estados Unidos de América de % Lo deportaron,Total En los Estados Unidos de América de % Otra causa,Total En los Estados Unidos de América de % No_especificado_causas,Total En los Estados Unidos de América de % Por inseguridad delictiva o violencia,Total En otro país de % Buscar trabajo,Total En otro país de % Cambio u oferta de trabajo,Total En otro país de % Reunirse con la familia,Total En otro país de % Estudiar,Total En otro país de % Por desastres naturales,Total En otro país de % Lo deportaron,Total En otro país de % Otra causa,Total En otro país de % No_especificado_causas,Total En otro país de % Por inseguridad delictiva o violencia
Estados Unidos MexicanosTotalTotal,Estados Unidos Mexicanos,Total,Total,6888490.0,1129177.0,855435.0,2515611.0,636148.0,463170.0,274158.0,24742.0,41390.0,860165.0,88494.0,3807844,374155,175930,2530561.0,6888490.0,0.164,0.124,0.365,0.092,0.067,0.004,0.006,0.125,0.013,0.04,61361.0,46395.0,136567.0,25068.0,1497.0,2245.0,46769.0,4864.0,14966.0,28853.0,21815.0,64214.0,11787.0,704.0,1056.0,21991.0,2287.0,7037.0
Estados Unidos MexicanosTotalMujeres,Estados Unidos Mexicanos,Mujeres,Total,3402338.0,440114.0,308564.0,1407333.0,400886.0,230463.0,143529.0,13473.0,4789.0,410962.0,42225.0,1889986,114154,83103,1315095.0,3402338.0,0.129,0.091,0.414,0.118,0.068,0.004,0.001,0.121,0.012,0.042,14726.0,10388.0,47260.0,7762.0,457.0,114.0,13813.0,1370.0,4794.0,10720.0,7562.0,34405.0,5651.0,332.0,83.0,10055.0,997.0,3490.0
Estados Unidos MexicanosTotalHombres,Estados Unidos Mexicanos,Hombres,Total,3486152.0,689063.0,546871.0,1108278.0,235262.0,232707.0,130629.0,11269.0,36601.0,449203.0,46269.0,1917858,260001,92827,1215466.0,3486152.0,0.198,0.157,0.318,0.067,0.067,0.003,0.01,0.129,0.013,0.037,51480.0,40820.0,82680.0,17420.0,780.0,2600.0,33540.0,3380.0,9620.0,18380.0,14574.0,29519.0,6219.0,278.0,928.0,11975.0,1207.0,3435.0
Estados Unidos Mexicanos85 años y másTotal,Estados Unidos Mexicanos,Total,85 años y más,26709.0,584.0,608.0,15415.0,251.0,8.0,900.0,276.0,18.0,8052.0,597.0,15136,1509,352,9712.0,26709.0,0.022,0.023,0.577,0.009,0.0,0.01,0.001,0.301,0.022,0.034,33.0,35.0,871.0,0.0,15.0,2.0,454.0,33.0,51.0,8.0,8.0,203.0,0.0,4.0,0.0,106.0,8.0,12.0
Estados Unidos Mexicanos85 años y másMujeres,Estados Unidos Mexicanos,Mujeres,85 años y más,17163.0,210.0,342.0,10107.0,160.0,3.0,557.0,205.0,8.0,5195.0,376.0,9859,815,224,6265.0,17163.0,0.012,0.02,0.589,0.009,0.0,0.012,0.0,0.303,0.022,0.032,10.0,16.0,480.0,0.0,10.0,0.0,247.0,18.0,26.0,3.0,4.0,132.0,0.0,3.0,0.0,68.0,5.0,7.0
Estados Unidos Mexicanos85 años y másHombres,Estados Unidos Mexicanos,Hombres,85 años y más,9546.0,374.0,266.0,5308.0,91.0,5.0,343.0,71.0,10.0,2857.0,221.0,5277,694,128,3447.0,9546.0,0.039,0.028,0.556,0.01,0.001,0.007,0.001,0.299,0.023,0.036,27.0,19.0,386.0,1.0,5.0,1.0,208.0,16.0,25.0,5.0,4.0,71.0,0.0,1.0,0.0,38.0,3.0,5.0
Estados Unidos Mexicanos80-84 añosTotal,Estados Unidos Mexicanos,Total,80-84 años,27252.0,939.0,934.0,14932.0,395.0,5.0,1302.0,282.0,37.0,7812.0,614.0,14964,2094,503,9691.0,27252.0,0.034,0.034,0.548,0.014,0.0,0.01,0.001,0.287,0.023,0.048,71.0,71.0,1148.0,0.0,21.0,2.0,601.0,48.0,101.0,17.0,17.0,276.0,0.0,5.0,1.0,144.0,12.0,24.0
Estados Unidos Mexicanos80-84 añosMujeres,Estados Unidos Mexicanos,Mujeres,80-84 años,15984.0,319.0,424.0,9493.0,190.0,2.0,679.0,173.0,8.0,4377.0,319.0,9026,959,288,5711.0,15984.0,0.02,0.027,0.594,0.012,0.0,0.011,0.001,0.274,0.02,0.042,19.0,26.0,570.0,0.0,11.0,1.0,263.0,19.0,40.0,6.0,8.0,171.0,0.0,3.0,0.0,79.0,6.0,12.0
Estados Unidos Mexicanos80-84 añosHombres,Estados Unidos Mexicanos,Hombres,80-84 años,11268.0,620.0,510.0,5439.0,205.0,3.0,623.0,109.0,29.0,3435.0,295.0,5938,1135,215,3980.0,11268.0,0.055,0.045,0.483,0.018,0.0,0.01,0.003,0.305,0.026,0.055,62.0,51.0,548.0,0.0,11.0,3.0,346.0,30.0,62.0,12.0,10.0,104.0,0.0,2.0,1.0,66.0,6.0,12.0
Estados Unidos Mexicanos75-79 añosTotal,Estados Unidos Mexicanos,Total,75-79 años,41271.0,2086.0,2122.0,20916.0,737.0,3.0,2335.0,458.0,88.0,11564.0,962.0,22309,3819,876,14267.0,41271.0,0.051,0.051,0.507,0.018,0.0,0.011,0.002,0.28,0.023,0.057,195.0,195.0,1936.0,0.0,42.0,8.0,1069.0,88.0,218.0,45.0,45.0,444.0,0.0,10.0,2.0,245.0,20.0,50.0
